"G.A.B. Canvass Reporting System",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Ward by Ward Report",,,,,,,,,,,,,
,,,,,,,,,,,,,
"2012 PRESIDENTIAL AND GENERAL ELECTION",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President of the United States",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Total Votes Cast","REP","DEM","CON","IND",,"IND","IND","IND","IND","IND",
,,,"MITT ROMNEY
PAUL RYAN","BARACK OBAMA
JOE BIDEN","VIRGIL GOODE
JIM CLYMER","GARY JOHNSON
JAMES P. GRAY",,"GLORIA LA RIVA
FILBERTO RAMIREZ, JR.","JERRY WHITE
PHYLLIS SCHERRER","JILL STEIN
BEN MANSKI","ROSS C. ROCKY ANDERSON
LUIS J. RODRIGUEZ (WRITE-IN)","ROSEANNE BARR
CINDY LEE SHEEHAN (WRITE IN)","SCATTERING"
,"TOWN OF ROOSEVELT WARD 1",124,62,58,2,1,,0,0,0,0,0,1
,"TOWN OF RUSK WARD 1",243,118,116,2,0,,0,0,0,0,0,7
,"TOWN OF SAND LAKE WARD 1",286,111,167,1,4,,1,0,2,0,0,0
,"TOWN OF SCOTT WARD 1-2",413,241,168,0,2,,1,0,1,0,0,0
,"TOWN OF SIREN WARDS 1-2",499,259,233,0,4,,0,0,0,0,0,3
,"TOWN OF SWISS WARDS 1-2",414,151,255,1,4,,0,0,3,0,0,0
,"TOWN OF TRADE LAKE WARDS 1-2",521,310,197,1,5,,1,0,5,0,0,2
,"TOWN OF UNION WARD 1",194,101,90,0,1,,0,0,2,0,0,0
,"TOWN OF WEBB LAKE WARD 1",280,145,133,0,2,,0,0,0,0,0,0
,"TOWN OF WEST MARSHLAND WARDS 1-2",188,118,69,1,0,,0,0,0,0,0,0
,"TOWN OF WOOD RIVER WARDS 1-3",526,352,168,3,3,,0,0,0,0,0,0
,"VILLAGE OF GRANTSBURG Wards 1- 3",663,372,284,0,6,,0,0,0,0,0,1
,"VILLAGE OF SIREN Wards 1 & 2",355,170,182,1,1,,0,0,1,0,0,0
,"VILLAGE OF WEBSTER WARDS 1-2",326,136,187,0,1,,0,1,1,0,0,0
,"County Totals:","8,677","4,550","3,986",26,64,,5,1,24,0,0,21
"CALUMET ","TOWN OF BRILLION WARDS 1,2",815,520,287,2,3,,1,0,1,0,0,1
,"TOWN OF BROTHERTOWN WARD 1-2",764,511,246,1,5,,0,0,1,0,0,0
,"TOWN OF CHARLESTOWN WARD 1",466,278,184,1,3,,0,0,0,0,0,0
,"TOWN OF CHILTON WARDS 1, 2, 3",627,414,203,6,4,,0,0,0,0,0,0
,"TOWN OF HARRISON WARDS 1-4","1,700",936,736,1,13,,0,0,6,0,0,8
,"TOWN OF HARRISON WARDS 5-6","1,191",680,492,3,10,,0,0,2,0,0,4
,"TOWN OF HARRISON WARDS 7-9","1,736","1,035",680,3,11,,0,0,3,0,0,4
,"TOWN OF HARRISON WARDS 10-12","1,262",731,519,1,6,,0,0,4,0,0,1
,"TOWN OF NEW HOLSTEIN WARD 1, 2, 3",813,487,312,3,4,,0,1,2,0,0,4
,"TOWN OF RANTOUL WARD 1",434,276,151,3,3,,0,0,1,0,0,0
,"TOWN OF STOCKBRIDGE WARDS 1-3",902,535,345,4,13,,0,0,1,0,0,4
,"TOWN OF WOODVILLE WARD 1",521,332,179,2,4,,0,1,2,0,0,1
,"VILLAGE OF HILBERT Wards 1 & 2",573,361,207,1,1,,0,0,2,0,0,1
,"VILLAGE OF POTTER WARD 1",138,85,47,0,6,,0,0,0,0,0,0
,"VILLAGE OF SHERWOOD Wards 1 - 4","1,704","1,021",664,1,10,,0,0,7,0,0,1
,"VILLAGE OF STOCKBRIDGE WARD 1",382,214,156,0,10,,0,0,0,0,0,2
,"CITY OF APPLETON Ward 12",155,68,86,0,0,,0,0,1,0,0,0
,"CITY OF APPLETON Ward 13","1,025",418,599,2,2,,0,1,2,0,0,1
,"CITY OF APPLETON Ward 14",783,405,364,5,8,,0,0,0,0,0,1
,"CITY OF APPLETON Ward 26","1,207",548,636,2,16,,0,0,5,0,0,0
,"CITY OF APPLETON Ward 44","1,158",502,628,4,17,,0,0,4,0,0,3
,"CITY OF APPLETON Ward 45","1,321",710,595,1,11,,0,0,4,0,0,0
,"CITY OF APPLETON Ward 46",98,58,40,0,0,,0,0,0,0,0,0
,"CITY OF APPLETON Ward 47",0,0,0,0,0,,0,0,0,0,0,0
,"CITY OF BRILLION WARDS 1-4","1,557",835,701,2,13,,1,1,1,0,0,3
,"CITY OF CHILTON Ward 1-5","1,862",952,876,3,23,,2,1,3,0,0,2
,"CITY OF KAUKAUNA Ward 11",0,0,0,0,0,,0,0,0,0,0,0
,"CITY OF KIEL Ward 7",152,75,76,0,1,,0,0,0,0,0,0
,"CITY OF MENASHA Wards 16 - 20","1,335",694,627,0,11,,0,1,0,0,0,2
,"CITY OF NEW HOLSTEIN WARDS 1-5","1,739",858,853,3,16,,2,0,4,0,0,3
,"County Totals:","26,420","14,539","11,489",54,224,,6,6,56,0,0,46
"CHIPPEWA ","TOWN OF ANSON WARDS 1-3","1,218",687,515,1,9,,0,2,2,0,0,2
,"TOWN OF ANSON WARD 4",0,0,0,0,0,,0,0,0,0,0,0
,"TOWN OF ARTHUR Ward 1",385,216,166,0,0,,0,0,2,0,0,1
,"TOWN OF AUBURN Ward 1",362,178,169,2,7,,0,2,3,0,0,1
,"TOWN OF BIRCH CREEK Ward 1",303,192,110,0,1,,0,0,0,0,0,0
,"TOWN OF BLOOMER Wards 1 - 2",541,326,208,1,3,,0,0,2,0,0,1
,"TOWN OF CLEVELAND Ward 1",411,241,168,0,1,,0,0,1,0,0,0
,"TOWN OF COLBURN Ward 1",406,241,164,1,0,,0,0,0,0,0,0
,"TOWN OF COOKS VALLEY Ward 1",389,234,152,1,2,,0,0,0,0,0,0
,"TOWN OF DELMAR Ward 1",450,257,185,2,4,,1,0,1,0,0,0
,"TOWN OF EAGLE POINT Wards 1 - 5 & 5S","1,848","1,032",798,6,8,,0,1,3,0,0,0
,"TOWN OF EDSON Wards 1 - 2 & 2 S",423,196,223,0,1,,1,0,2,0,0,0
,"TOWN OF ESTELLA Ward 1",212,115,95,1,1,,0,0,0,0,0,0
,"TOWN OF GOETZ Wards 1-2",392,174,214,1,1,,0,0,1,0,0,1
,"TOWN OF GOETZ Ward 3",0,0,0,0,0,,0,0,0,0,0,0
,"TOWN OF HALLIE Ward 1",100,45,54,1,0,,0,0,0,0,0,0
,"TOWN OF HOWARD Ward 1",410,194,211,0,2,,0,0,1,0,0,2
,"TOWN OF LAFAYETTE Wards 1 - 9","3,382","1,701","1,642",8,19,,0,2,7,0,0,3
,"TOWN OF LAKE HOLCOMBE Wards 1 - 2",565,310,254,0,0,,0,0,1,0,0,0
,"TOWN OF RUBY Ward 1",218,105,111,1,1,,0,0,0,0,0,0
,"TOWN OF SAMPSON Ward 1",472,281,183,2,4,,0,0,2,0,0,0
,"TOWN OF SIGEL Wards 1 - 2",501,225,266,2,5,,0,0,1,0,1,1
,"TOWN OF TILDEN Wards 1 - 3",846,461,370,3,8,,1,0,2,0,0,1
,"TOWN OF WHEATON Wards 1 - 3","1,599",813,764,5,11,,0,1,3,0,0,2
,"TOWN OF WOODMOHR Wards 1 - 2",523,287,228,1,4,,0,0,0,0,0,3
,"VILLAGE OF BOYD Ward 1",285,127,154,1,1,,0,0,1,0,0,1
,"VILLAGE OF CADOTT Wards 1 - 2",627,273,351,1,1,,0,0,1,0,0,0
,"VILLAGE OF LAKE HALLIE Wards 1 - 8","3,305","1,547","1,718",11,17,,0,1,3,0,0,8
,"VILLAGE OF NEW AUBURN Ward 1",220,121,95,1,3,,0,0,0,0,0,0
,"CITY OF BLOOMER Wards 1 - 4","1,760",942,802,5,5,,0,0,4,0,0,2
,"CITY OF CHIPPEWA FALLS WARD 1",896,348,530,1,10,,0,1,2,0,1,3
,"CITY OF CHIPPEWA FALLS WARD 2",944,451,483,1,6,,0,0,1,0,0,2
,"CITY OF CHIPPEWA FALLS WARD 3","1,119",510,599,3,4,,0,0,2,0,0,1
,"CITY OF CHIPPEWA FALLS WARD 4",809,334,459,1,11,,0,1,3,0,0,0
,"CITY OF CHIPPEWA FALLS WARD 5",791,304,477,1,4,,0,1,4,0,0,0
,"CITY OF CHIPPEWA FALLS WARD 6",867,345,513,1,4,,0,1,3,0,0,0
,"CITY OF CHIPPEWA FALLS WARD 7",846,373,469,0,3,,0,0,1,0,0,0
,"CITY OF CORNELL Wards 1-4",657,327,323,1,3,,0,0,3,0,0,0
,"CITY OF EAU CLAIRE Ward 16",880,351,516,2,10,,0,0,1,0,0,0
,"CITY OF EAU CLAIRE Ward 40",0,0,0,0,0,,0,0,0,0,0,0
,"CITY OF EAU CLAIRE Ward 41",35,13,21,0,1,,0,0,0,0,0,0
,"CITY OF STANLEY Wards 1 - 4, 6 - 7",935,445,477,0,8,,0,0,4,1,0,0
,"County Totals:","30,932","15,322","15,237",69,183,,3,13,67,1,2,35
"CLARK ","TOWN OF BEAVER WARD 1",258,155,102,0,1,,0,0,0,0,0,0
,"TOWN OF BUTLER WARD 1",47,26,21,0,0,,0,0,0,0,0,0
,"TOWN OF COLBY WARDS 1, 2 & 3",273,164,104,0,2,,0,1,1,0,0,1
,"TOWN OF DEWHURST WARD 1",182,103,78,0,0,,0,0,1,0,0,0
,"TOWN OF EATON WARD 1 & 2",230,140,81,2,4,,1,0,2,0,0,0
,"TOWN OF FOSTER WARD 1",74,38,35,1,0,,0,0,0,0,0,0
,"TOWN OF FREMONT WARD 1 & 2",491,320,165,1,2,,0,0,1,0,0,2
,"TOWN OF GRANT WARD 1 & 2",384,197,176,2,3,,0,0,1,0,0,5
,"TOWN OF GREEN GROVE WARD 1 & 2",222,115,104,3,0,,0,0,0,0,0,0
,"TOWN OF HENDREN WARD 1",218,114,98,4,0,,0,0,2,0,0,0
,"TOWN OF HEWETT WARD 1 & 2",166,74,88,0,1,,0,0,1,0,0,2
,"TOWN OF HIXON WARD 1 & 2",220,104,114,0,1,,0,0,0,0,0,1
,"TOWN OF HOARD WARD 1 & 2",229,139,89,1,0,,0,0,0,0,0,0
,"TOWN OF LEVIS WARD 1 & 2",243,132,109,0,1,,0,0,0,0,0,1
,"TOWN OF LONGWOOD WARD 1 & 2",228,123,97,2,5,,0,0,0,0,0,1
,"TOWN OF LOYAL WARD 1 & 2",265,160,103,0,1,,0,0,1,0,0,0
,"TOWN OF LYNN WARD 1 & 2",265,150,107,1,3,,1,1,0,0,0,2
,"TOWN OF MAYVILLE WARD 1 & 2",349,212,133,1,2,,0,0,1,0,0,0
,"TOWN OF MEAD WARD 1",143,64,77,0,2,,0,0,0,0,0,0
,"TOWN OF MENTOR WARD 1",248,124,115,3,3,,0,1,0,0,0,2
,"TOWN OF PINE VALLEY WARD 1 & 2",618,327,284,0,5,,0,0,0,0,0,2
,"TOWN OF RESEBURG WARD 1 & 2",185,77,106,0,0,,0,0,2,0,0,0
,"TOWN OF SEIF WARD 1",101,51,46,3,0,,0,0,1,0,0,0
,"TOWN OF SHERMAN WARD 1 & 2",351,205,141,2,1,,0,0,1,0,0,1
,"TOWN OF SHERWOOD WARD 1",148,62,81,0,1,,0,1,0,0,0,3
,"TOWN OF THORP WARD 1",288,131,155,0,1,,0,0,1,0,0,0
,"TOWN OF UNITY WARD 1",315,184,120,1,4,,0,0,5,0,0,1
,"TOWN OF WARNER WARD 1 & 2",257,146,111,0,0,,0,0,0,0,0,0
,"TOWN OF WASHBURN WARD 1",144,84,57,0,2,,0,0,1,0,0,0
,"TOWN OF WESTON WARD 1 & 2",310,161,145,0,3,,0,0,0,0,0,1
,"TOWN OF WITHEE WARD 1",301,169,125,1,2,,2,0,1,0,0,1
,"TOWN OF WORDEN WARD 1",239,136,102,0,0,,0,1,0,0,0,0
,"TOWN OF YORK WARD 1 & 2",376,191,177,4,1,,0,0,3,0,0,0
,"VILLAGE OF CURTISS WARD 1",54,33,20,1,0,,0,0,0,0,0,0
,"VILLAGE OF DORCHESTER WARD 1",292,176,112,0,2,,0,0,2,0,0,0
,"VILLAGE OF GRANTON WARD 1",168,82,83,0,2,,0,0,0,0,0,1
,"VILLAGE OF UNITY WARD 2",65,40,23,0,2,,0,0,0,0,0,0
,"VILLAGE OF WITHEE WARD 1",220,107,111,0,0,,0,2,0,0,0,0
,"CITY OF ABBOTSFORD Wards 2-5",671,386,278,1,4,,0,0,2,0,0,0
,"CITY OF COLBY WARDS 2-4",539,310,223,1,2,,0,1,1,0,0,1
,"CITY OF GREENWOOD WARD 1 & 2",487,238,241,1,4,,0,0,2,0,0,1
,"CITY OF LOYAL WARD 1 & 2",607,355,247,0,3,,0,0,1,0,0,1
,"CITY OF NEILLSVILLE WARD 1",213,106,106,0,0,,0,0,1,0,0,0
,"CITY OF NEILLSVILLE WARD 2",301,156,142,0,3,,0,0,0,0,0,0
,"CITY OF NEILLSVILLE WARD 3",311,137,169,1,4,,0,0,0,0,0,0
,"CITY OF NEILLSVILLE WARD 4",185,93,86,0,5,,0,0,1,0,0,0
,"CITY OF NEILLSVILLE WARD 5",138,71,64,1,0,,0,0,0,0,0,2
,"CITY OF OWEN WARD 1, 2 & 3",421,185,232,1,2,,0,0,0,0,0,1
,"CITY OF STANLEY WARD 5",1,0,1,0,0,,0,0,0,0,0,0
,"CITY OF THORP WARD 1, 2, 3,& 4",760,359,388,3,3,,3,0,3,0,0,1
,"County Totals:","13,801","7,412","6,172",42,87,,7,8,39,0,0,34
"COLUMBIA ","TOWN OF ARLINGTON WARD 1",494,211,276,0,7,,0,0,0,0,0,0
,"TOWN OF CALEDONIA WARDS 1 & 2",879,389,485,2,0,,0,0,2,0,0,1
,"TOWN OF COLUMBUS WARD 1",376,200,174,0,0,,0,0,0,0,0,2
,"TOWN OF COURTLAND WARD 1",260,169,89,0,2,,0,0,0,0,0,0
,"TOWN OF DEKORRA Wards 1 - 3","1,482",696,769,2,6,,0,0,6,0,0,3
,"TOWN OF FORT WINNEBAGO WARD 1",554,263,280,0,9,,0,0,1,0,0,1
,"TOWN OF FOUNTAIN PRAIRIE WARDS 1 - 2",525,223,293,0,6,,0,0,3,0,0,0
,"TOWN OF HAMPDEN WARD 1",355,182,169,0,2,,0,1,1,0,0,0
,"TOWN OF LEEDS WARDS 1 & 2",511,244,259,1,3,,0,0,2,0,0,2
,"TOWN OF LEWISTON WARDS 1 & 2",688,307,379,0,1,,0,0,0,0,0,1
,"TOWN OF LODI WARDS 1 - 5","1,992",934,"1,044",1,8,,0,0,1,0,0,4
,"TOWN OF LOWVILLE WARDS 1 & 2",657,300,350,2,4,,0,0,1,0,0,0
,"TOWN OF MARCELLON WARDS 1 & 2",561,267,289,4,0,,0,0,1,0,0,0
,"TOWN OF NEWPORT WARD 1",398,175,219,0,1,,0,0,2,0,0,1
,"TOWN OF OTSEGO WARD 1",398,179,213,0,5,,0,0,0,0,0,1
,"TOWN OF PACIFIC WARDS 1 - 4","1,676",796,867,2,8,,0,0,0,0,0,3
,"TOWN OF RANDOLPH WARD 1",423,318,101,2,0,,0,0,1,0,0,1
,"TOWN OF SCOTT WARD 1",370,213,155,0,2,,0,0,0,0,0,0
,"TOWN OF SPRINGVALE WARDS 1 & 2",294,143,149,0,2,,0,0,0,0,0,0
,"TOWN OF WEST POINT WARDS 1 - 3","1,266",560,695,0,9,,0,0,2,0,0,0
,"TOWN OF WYOCENA WARDS 1 & 2",957,422,531,0,2,,0,0,2,0,0,0
,"VILLAGE OF ARLINGTON WARD 1",481,207,271,0,0,,0,0,1,0,0,2
,"VILLAGE OF CAMBRIA WARD 1",378,154,218,1,3,,0,0,0,0,0,2
,"VILLAGE OF DOYLESTOWN WARD 1",142,49,90,2,1,,0,0,0,0,0,0
,"VILLAGE OF FALL RIVER WARDS 1 & 2",838,337,492,0,3,,0,0,3,0,0,3
,"VILLAGE OF FRIESLAND WARD 1",179,124,54,0,1,,0,0,0,0,0,0
,"VILLAGE OF PARDEEVILLE Wards 1-3","1,105",448,648,0,4,,0,0,5,0,0,0
,"VILLAGE OF POYNETTE WARDS 1-4","1,315",448,847,2,8,,0,0,5,0,0,5
,"VILLAGE OF RANDOLPH WARD 3",254,146,106,0,2,,0,0,0,0,0,0
,"VILLAGE OF RIO Ward 1 - 2",548,175,359,2,5,,1,0,5,0,0,1
,"VILLAGE OF WYOCENA WARD 1",361,141,215,2,1,,0,0,2,0,0,0
,"CITY OF COLUMBUS Wards 1-8","2,737","1,045","1,648",1,22,,0,0,10,0,0,11
,"CITY OF LODI WARDS 1 - 6","1,668",589,"1,065",0,12,,0,0,1,0,0,1
,"CITY OF PORTAGE Wards 1,9,10","1,426",539,868,3,10,,1,0,4,0,0,1
,"CITY OF PORTAGE Wards 2,3,5","1,391",439,929,4,9,,0,0,5,0,0,5
,"CITY OF PORTAGE Wards 4,6,7,8","1,435",519,900,1,11,,0,0,0,0,0,4
,"CITY OF WISCONSIN DELLS WARDS 1 - 3 & 6","1,172",475,679,2,11,,0,0,3,0,0,2
,"County Totals:","30,546","13,026","17,175",36,180,,2,1,69,0,0,57
"CRAWFORD ","TOWN OF BRIDGEPORT WARD 1",546,280,259,1,6,,0,0,0,0,0,0
,"TOWN OF CLAYTON WARDS 1-3",477,163,306,1,2,,0,1,4,0,0,0
,"TOWN OF EASTMAN WARDS 1-2",372,181,175,2,8,,2,0,0,0,0,4
,"TOWN OF FREEMAN WARD 1",378,134,239,1,1,,2,1,0,0,0,0
,"TOWN OF HANEY WARD 1",177,58,119,0,0,,0,0,0,0,0,0
,"TOWN OF MARIETTA WARD 1",274,126,144,0,3,,0,0,0,0,0,1
,"TOWN OF PRAIRIE DU CHIEN WARD 1-2",461,212,243,0,4,,0,0,2,0,0,0
,"TOWN OF SCOTT WARD 1",249,86,159,2,0,,0,0,2,0,0,0
,"TOWN OF SENECA WARD 1",437,182,243,1,6,,0,0,2,0,0,3
,"TOWN OF UTICA WARD 1",339,110,223,0,3,,0,0,2,0,0,1
,"TOWN OF WAUZEKA WARD 1-2",210,101,102,1,5,,0,0,0,0,0,1
,"VILLAGE OF BELL CENTER WARD 1",52,17,34,0,0,,0,0,1,0,0,0
,"VILLAGE OF DE SOTO WARD 2",54,20,34,0,0,,0,0,0,0,0,0
,"VILLAGE OF EASTMAN WARD 1",174,85,85,2,1,,0,0,0,0,0,1
,"VILLAGE OF FERRYVILLE WARD 1",104,36,64,0,2,,0,0,2,0,0,0
,"VILLAGE OF GAYS MILLS WARD 1",253,71,174,1,6,,0,1,0,0,0,0
,"VILLAGE OF LYNXVILLE WARD 1",74,36,37,0,0,,0,0,1,0,0,0
,"VILLAGE OF MT. STERLING WARD 1",91,30,61,0,0,,0,0,0,0,0,0
,"VILLAGE OF SOLDIERS GROVE WARD 1",257,90,162,0,4,,0,0,0,0,0,1
,"VILLAGE OF STEUBEN WARD 1",55,17,38,0,0,,0,0,0,0,0,0
,"VILLAGE OF WAUZEKA WARD 1",281,93,188,0,0,,0,0,0,0,0,0
,"CITY OF PRAIRIE DU CHIEN Ward 1",444,177,264,1,1,,0,0,0,0,0,1
,"CITY OF PRAIRIE DU CHIEN Wards 2, 7",462,158,296,2,4,,0,0,0,0,0,2
,"CITY OF PRAIRIE DU CHIEN Ward 3",356,145,207,0,2,,0,0,2,0,0,0
,"CITY OF PRAIRIE DU CHIEN Ward 4",380,122,253,1,2,,0,0,1,0,0,1
,"CITY OF PRAIRIE DU CHIEN Ward 5",421,157,262,0,2,,0,0,0,0,0,0
,"CITY OF PRAIRIE DU CHIEN Ward 6",439,180,258,0,0,,0,1,0,0,0,0
,"County Totals:","7,817","3,067","4,629",16,62,,4,4,19,0,0,16
"DANE ","TOWN OF ALBION Wards 1 - 2","1,116",369,732,1,11,,0,0,0,0,0,3
,"TOWN OF BERRY WARDS 1-2",778,323,448,1,4,,0,0,0,0,0,2
,"TOWN OF BLACK EARTH Ward 1",338,134,201,0,2,,0,0,0,0,0,1
,"TOWN OF BLOOMING GROVE Wards 1 - 3","1,143",290,834,1,8,,0,0,7,0,0,3
,"TOWN OF BLUE MOUNDS WARD 1",590,252,332,2,3,,1,0,0,0,0,0
,"TOWN OF BRISTOL WARDS 1-4","2,292","1,042","1,229",0,15,,0,0,5,0,0,1
,"TOWN OF BURKE Wards 1-4","1,990",797,"1,168",2,17,,0,0,4,0,0,2
,"TOWN OF CHRISTIANA WARDS 1-2",752,313,433,1,3,,0,0,2,0,0,0
,"TOWN OF COTTAGE GROVE Wards 1, 2, 4, 5, 7","1,564",615,938,1,6,,1,0,1,0,0,2
,"TOWN OF COTTAGE GROVE Wards 3, 6",930,388,531,0,9,,0,0,0,0,0,2
,"TOWN OF CROSS PLAINS WARDS 1-2",985,417,561,1,4,,0,0,2,0,0,0
,"TOWN OF CROSS PLAINS WARD 3",0,0,0,0,0,,0,0,0,0,0,0
,"TOWN OF DANE WARD 1",552,268,273,1,8,,0,0,1,0,0,1
,"TOWN OF DEERFIELD WARD 1-2",924,383,538,1,2,,0,0,0,0,0,0
,"TOWN OF DUNKIRK Wards 1,3,5",808,275,523,2,6,,0,1,1,0,0,0
,"TOWN OF DUNKIRK Wards 2,4,6",450,149,297,3,1,,0,0,0,0,0,0
,"TOWN OF DUNN WARDS 1-7","3,351","1,198","2,122",3,14,,0,0,9,0,0,5
,"TOWN OF MADISON WARD 1",392,56,323,0,5,,0,0,7,0,0,1
,"TOWN OF MADISON WARDS 2 - 9","2,169",244,"1,877",7,18,,0,0,19,1,0,3
,"TOWN OF MAZOMANIE WARDS 1-2",683,246,432,2,1,,0,0,1,0,0,1
,"TOWN OF MEDINA WARDS 1-2",790,345,434,1,7,,0,0,2,0,0,1
,"TOWN OF MIDDLETON WARDS 1- 8","4,024","1,916","2,076",4,17,,0,0,11,0,0,0
,"TOWN OF MONTROSE WARDS 1 - 2",699,222,470,1,2,,0,0,4,0,0,0
,"TOWN OF OREGON WARDS 1-4","2,138",813,"1,307",2,13,,0,0,1,0,0,2
,"TOWN OF PERRY WARD 1",494,170,321,0,0,,0,0,0,0,0,3
,"TOWN OF PLEASANT SPRINGS WARDS 1-4","2,118",896,"1,199",1,11,,0,0,10,0,0,1
,"TOWN OF PRIMROSE WARD 1",456,136,313,0,4,,0,1,2,0,0,0
,"TOWN OF ROXBURY WARD 1-2","1,055",444,605,1,3,,0,0,2,0,0,0
,"TOWN OF RUTLAND WARDS 1-2","1,309",462,834,1,5,,0,0,3,0,0,4
,"TOWN OF SPRINGDALE WARD 1-2","1,270",534,727,0,3,,0,0,5,0,0,1
,"TOWN OF SPRINGFIELD WARDS 1-3","1,687",765,914,2,4,,0,0,2,0,0,0
,"TOWN OF SUN PRAIRIE WARDS 1-3","1,405",541,854,2,4,,0,0,2,0,0,2
,"TOWN OF VERMONT WARD 1",582,188,386,1,4,,0,0,2,0,0,1
,"TOWN OF VERONA Ward 1",443,204,235,0,2,,0,0,1,0,0,1
,"TOWN OF VERONA Wards 2 - 4",873,325,540,1,4,,0,1,2,0,0,0
,"TOWN OF VIENNA Wards 1-2",910,442,460,2,3,,0,0,1,0,0,2
,"TOWN OF WESTPORT WARDS 1 - 5","2,804","1,221","1,566",2,7,,0,0,8,0,0,0
,"TOWN OF WINDSOR Wards 1-2",431,174,249,0,7,,0,0,0,0,0,1
,"TOWN OF WINDSOR Wards 3-5","1,288",615,664,1,5,,0,0,2,0,0,1
,"TOWN OF WINDSOR Wards 6-10","2,157",796,"1,340",4,7,,0,0,4,1,0,5
,"TOWN OF YORK WARD 1",412,178,230,0,3,,0,0,1,0,0,0
,"VILLAGE OF BELLEVILLE WARD 1-2","1,061",290,759,1,10,,0,0,1,0,0,0
,"VILLAGE OF BLACK EARTH Wards 1 - 2",775,230,539,1,2,,0,0,2,0,0,1
,"VILLAGE OF BLUE MOUNDS WARD 1",490,166,320,0,1,,0,0,3,0,0,0
,"VILLAGE OF BROOKLYN WARD 1",518,170,338,1,7,,0,0,1,0,0,1
,"VILLAGE OF CAMBRIDGE WARDS 2-3",849,334,505,1,2,,0,0,5,0,0,2
,"VILLAGE OF COTTAGE GROVE WARDS 1-9","3,638","1,334","2,271",4,18,,0,0,4,0,0,7
,"VILLAGE OF CROSS PLAINS WARDS 1-4","2,204",785,"1,396",3,12,,0,2,3,0,0,3
,"VILLAGE OF DANE Ward 1",548,222,323,0,1,,1,0,0,0,0,1
,"VILLAGE OF DEERFIELD Wards 1 - 3","1,297",434,840,2,7,,1,0,9,0,0,4
,"VILLAGE OF DEFOREST WARD 1, 3-6","2,176",843,"1,305",3,17,,0,0,2,0,0,6
,"VILLAGE OF DEFOREST WARD 2",405,126,277,0,0,,0,1,1,0,0,0
,"VILLAGE OF DEFOREST WARD 7-10, 12","1,882",656,"1,197",6,19,,0,0,2,2,0,0
,"VILLAGE OF DEFOREST WARD 11",488,169,313,1,4,,0,0,1,0,0,0
,"VILLAGE OF DEFOREST WARD 13",0,0,0,0,0,,0,0,0,0,0,0
,"VILLAGE OF MAPLE BLUFF WARDS 1-2","1,033",448,576,0,4,,1,0,3,0,0,1
,"VILLAGE OF MARSHALL WARDS 1-5","1,857",638,"1,202",2,9,,0,1,2,0,0,3
,"VILLAGE OF MAZOMANIE WARDS 1-3",992,301,679,1,6,,0,0,5,0,0,0
,"VILLAGE OF MCFARLAND WARDS 1-10","4,898","1,717","3,131",2,31,,1,0,10,0,0,6
,"VILLAGE OF MOUNT HOREB WARDS 1-4","1,990",696,"1,265",5,14,,1,1,7,0,0,1
,"VILLAGE OF MOUNT HOREB WARDS 5-8","2,140",717,"1,401",2,10,,0,0,7,2,0,1
,"VILLAGE OF OREGON WARD 1, 5, 6 & 11","1,888",582,"1,287",1,7,,0,0,6,0,0,5
,"VILLAGE OF OREGON WARD 2, 3, 4 & 12","1,873",604,"1,243",3,16,,0,1,5,0,0,1
,"VILLAGE OF OREGON WARD 7 - 10","1,983",739,"1,218",4,14,,0,0,5,0,0,3
,"VILLAGE OF ROCKDALE WARD 1",120,32,86,0,2,,0,0,0,0,0,0
,"VILLAGE OF SHOREWOOD HILLS Wards 1 - 2","1,247",195,"1,040",2,3,,0,0,6,0,0,1
,"VILLAGE OF WAUNAKEE Wards 1 - 5","3,667","1,531","2,120",2,8,,0,0,4,0,0,2
,"VILLAGE OF WAUNAKEE Wards 6 - 11","3,640","1,671","1,939",3,15,,0,1,3,0,0,8
,"CITY OF EDGERTON Ward 7",49,16,33,0,0,,0,0,0,0,0,0
,"CITY OF FITCHBURG Ward 1 -  4","2,645",529,"2,071",3,33,,0,0,5,1,0,3
,"CITY OF FITCHBURG Ward 5 - 9","4,342","1,431","2,871",3,22,,0,0,9,0,0,6
,"CITY OF FITCHBURG Ward 10 -13","2,265",473,"1,759",2,14,,0,1,11,0,0,5
,"CITY OF FITCHBURG Ward 14",703,216,479,1,5,,0,0,2,0,0,0
,"CITY OF FITCHBURG Ward 15, 18, 19","2,325",822,"1,481",1,14,,0,0,1,0,0,6
,"CITY OF FITCHBURG Ward 16, 17","1,212",383,820,2,5,,0,0,2,0,0,0
,"CITY OF MADISON WARD 1","1,289",377,899,2,5,,0,0,3,0,0,3
,"CITY OF MADISON WARD 2","1,035",211,811,2,7,,0,0,4,0,0,0
,"CITY OF MADISON WARD 3",835,233,590,1,5,,0,0,3,2,0,1
,"CITY OF MADISON WARD 4",569,175,386,3,2,,0,0,0,0,0,3
,"CITY OF MADISON WARD 5",965,268,686,1,9,,0,0,0,0,0,1
,"CITY OF MADISON WARD 6","1,672",340,"1,315",2,7,,0,0,8,0,0,0
,"CITY OF MADISON WARD 7",968,309,646,0,12,,0,0,1,0,0,0
,"CITY OF MADISON WARD 8","1,603",463,"1,123",0,11,,0,0,4,0,0,2
