county_city_key,totalvote16,REP16,DEM16,CON16,LIB16,hidden16,WGR16,IND16,SCATTERING16,totalvote12,REP12,DEM12,CON12,IND12,hidden12,SCATTERING12,scanner,voting_machine
ADAMS___TOWN OF RICHFIELD,86,56,27,0,2,0,0,1,0,88,42,44,0,2,0,0,None,Vote Pad-Vote Pad (non-electronic)
ADAMS___TOWN OF ROME,1951,1169,715,7,33,0,13,0,14,1860,1025,826,1,7,0,0,ES&S DS200,ES&S Automark
ADAMS___TOWN OF SPRINGVILLE,649,414,211,2,10,0,7,1,4,603,284,313,0,6,0,0,None,Vote Pad-Vote Pad (non-electronic)
ADAMS___TOWN OF STRONGS PRAIRIE,609,376,213,2,11,0,6,0,1,619,280,330,1,6,0,0,None,Dominion (Sequoia)/Command Central-Edge
ADAMS___VILLAGE OF FRIENDSHIP,285,154,117,1,11,0,2,0,0,298,109,185,0,0,0,0,None,Vote Pad-Vote Pad (non-electronic)
ADAMS___CITY OF ADAMS,748,377,325,6,15,0,6,7,12,798,298,497,1,2,0,0,ES&S DS200,ES&S Automark
ASHLAND___TOWN OF AGENDA,227,151,68,1,6,0,0,0,1,239,136,101,0,1,0,0,None,ES&S Automark
ASHLAND___TOWN OF ASHLAND,311,147,144,1,8,0,7,1,3,328,105,211,4,8,0,0,None,ES&S Automark
ASHLAND___TOWN OF CHIPPEWA,209,128,72,1,4,0,1,1,2,223,111,105,1,5,0,0,None,ES&S Automark
ASHLAND___TOWN OF GINGLES,430,198,211,3,5,0,9,0,4,427,143,276,2,6,0,0,None,ES&S Automark
ASHLAND___TOWN OF GORDON,150,94,49,0,5,0,0,1,1,183,82,100,0,1,0,0,None,ES&S Automark
ASHLAND___TOWN OF JACOBS,334,204,120,0,6,0,1,2,1,377,156,216,0,5,0,0,None,ES&S Automark
ASHLAND___TOWN OF LA POINTE,242,53,159,0,8,0,17,1,4,267,51,209,1,6,0,0,None,ES&S Automark
ASHLAND___TOWN OF MARENGO,212,101,92,0,8,0,5,4,2,210,82,125,0,3,0,0,None,ES&S Automark
ASHLAND___TOWN OF MORSE,297,138,150,0,2,0,1,1,5,307,121,183,2,1,0,0,None,ES&S Automark
ASHLAND___TOWN OF PEEKSVILLE,95,52,33,1,4,0,3,1,1,107,54,50,1,2,0,0,None,ES&S Automark
ASHLAND___TOWN OF SANBORN,498,72,398,2,6,0,11,1,8,576,68,503,0,4,0,0,None,ES&S Automark
ASHLAND___TOWN OF SHANAGOLDEN,64,32,28,0,2,0,1,0,1,73,34,39,0,0,0,0,None,ES&S Automark
ASHLAND___TOWN OF WHITE RIVER,464,309,128,4,6,0,14,1,2,475,266,202,2,5,0,0,None,ES&S Automark
ASHLAND___VILLAGE OF BUTTERNUT,177,84,86,0,4,0,1,0,2,175,66,108,0,1,0,0,None,ES&S Automark
ASHLAND___CITY OF ASHLAND,4025,1388,2348,8,116,0,95,12,58,4059,1240,2741,2,62,0,0,ES&S M100,ES&S Automark
ASHLAND___CITY OF MELLEN,297,152,140,0,4,0,1,0,0,346,105,230,3,8,0,0,None,ES&S Automark
BARRON___TOWN OF ALMENA,483,306,148,4,21,0,1,3,0,482,228,249,0,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF ARLAND,317,180,107,4,19,0,7,0,0,325,149,169,5,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF BARRON,375,255,97,2,16,0,1,4,0,404,257,142,0,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
